comment_text,article_url,article_title,comment_sentiment,comment_confidence,comment_dominant_emotion,article_title_sentiment,article_title_confidence,article_title_dominant_emotion,article_sentiment,article_confidence,article_dominant_emotion
"Това предложение означава още повече пари за изборите. Ние, обикновените избиратели предлагаме, да се увеличи срока за депутатите в НС, за президента и за правителството, за да се намалят броя избори, в които участваме. Вместо това предлагаме, служебните правителства да бъдат притеснени да харчат само 1/4 от бюджета на държавата, защото по закон управляват само 3 месеца. Това не е икономия, а икономика.",https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,Негативен,0.78,разочарование,Неутрален,0.95,спокойствие,Неутрален,0.9,спокойствие
Свинята желае и финансиране оттам. Казвам само. ^^,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,Негативен,0.82,презрение,Неутрален,0.95,спокойствие,Неутрален,0.9,спокойствие
"Това са турци без грам българско, какво не ти е ясно ? Тия които са изселниците в Турция веят турски знамена, за тях Турция е тяхната родина ,и много от тях дори имат териториални претенции към България. Смениха им имената защото Турция твърдеше ,че в България живеят два милиона турци ,и се готвеше да ни нападне както направи с Гърците. Ние тука си извъртаме историята и пишем глупости ,че били прокудени ,а те правят филми ,че били сключили договор да се изселят ,предпочитам да вярвам на турската историография ,а не на нашите еничарски бастуни които поради някакъв криворазбран антикомунизъм фалшифицират миналото ни.",https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,Негативен,0.95,гняв,Неутрален,0.95,спокойствие,Неутрален,0.9,спокойствие
"Шопaрът пеевски както обикновено лицемерничи. Ограничението беше въведено по две причини- да не би в Турция да гласуват за Доган и заради крайно ниската популярност на гербаджиите в чужбина. Естествено на думи голямото Д е бил против за пред електората, но на практика зависимите от него прокараха това безобразие.",https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,Негативен,0.96,гняв,Неутрален,0.95,спокойствие,Неутрален,0.9,спокойствие
"... освен да въведеш графа ""Национално самосъзнание"" в личните документи...",https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,Неутрален,0.78,неутралност,Неутрален,0.95,спокойствие,Неутрален,0.9,спокойствие
"Нищо няма да кяри тоя. дпс е със затихващи функции, ръководена все от ченгета. Каква специална мотивация може да има един мюсюлманин да храни ченгета, дето поддържаха местни паши?",https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,Негативен,0.94,гняв,Неутрален,0.95,спокойствие,Неутрален,0.9,спокойствие
"Това лицемерие на пеевски и борисов не е даже и за коментар. Да видим дали ПБ ще отвори кодекса преди изборите, за да се въведе 100% машинното гласуване, за да се спре с тези хартиени манипулации на свинете и техните слуги!",https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,Негативен,0.96,гняв,Неутрален,0.95,спокойствие,Неутрален,0.9,спокойствие
"Естествено ,че ще предлага ,фесовете вече залагат на него :/ Ако не бяха ограничени секциите щеше да получи повече гласове :/ На български избори трябва да имат право на глас само хора с българско национално самосъзнание, на изселниците в Турция не им е родина България и не го крият ,те са нещо като пета колона на Турция :/",https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,Негативен,0.92,гняв,Неутрален,0.95,спокойствие,Неутрален,0.9,спокойствие
""" Полека изчезна, зад облака бял...."" / от шлагер на Йосиф Цанков/. Че е, ""брилянтен"", както сме го запомнили, няма две думи. Затова, въпросът ви е, и общонационален ! Боже, Пази България !",https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html,"Михаела Доцова от ""Прогресивна България"" стана председател на НС с подкрепата на ГЕРБ и ДПС",Позитивен,0.72,възхищение,Неутрален,0.95,спокойствие,Неутрален,0.95,спокойствие
"Спокоен съм, че е ""бивш кадър на БСП"". Иначе, щеше да бъде невероятно!",https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html,"Михаела Доцова от ""Прогресивна България"" стана председател на НС с подкрепата на ГЕРБ и ДПС",Негативен,0.62,скептицизъм,Неутрален,0.95,спокойствие,Неутрален,0.95,спокойствие
"Задава се нов политически сезон с висока влажност – от сълзите на тези, които до вчера се упражняваха в прякори, а днес трябва да свикват с дългото присъствие на ""Зеления чорап"". Ще трябва да проявите малко християнско смирение. Все пак търпението е добродетел, особено когато нямаш друг избор.",https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html,"Михаела Доцова от ""Прогресивна България"" стана председател на НС с подкрепата на ГЕРБ и ДПС",Негативен,0.82,сарказъм,Неутрален,0.95,спокойствие,Неутрален,0.95,спокойствие
"Да, виждам набитите канчета на разтурената секта на шарлатаните и ДеБилите! ;)",https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html,"Михаела Доцова от ""Прогресивна България"" стана председател на НС с подкрепата на ГЕРБ и ДПС",Негативен,0.95,презрение,Неутрален,0.95,спокойствие,Неутрален,0.95,спокойствие
