comment,sentiment,confidence,dominant_emotion,article_url
"В областните градове има можещи изпълнители и добри състави, винаги когато обикаляме из страната посещаваме било театър било други културни мероприятия.",Позитивен,0.85,удовлетворение,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti
Жалко..няма да могат да откраднат от това събитие..,Негативен,0.82,разочарование,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti
Каква опера ще се получи на площад с нулева акустика е друг въпрос?,Негативен,0.72,скептицизъм,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti
"Тази сутрин и доста съботи и недели ""Денят започва"" с Георги Любенов, а участниците съвсем в началото на интервютата не поглеждат имената си за по няколко секунди, а на Г.Л. в ""Денят започва"" надписът му стои по 3-те часа!",Негативен,0.72,раздразнение,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti
"Пари за заплатите на шапкарите от НАТО има, за опера няма!",Негативен,0.87,гняв,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti
"Какви опери на площада, какви пет евро. То да видим утре дали ще преведат пенсиите.",Негативен,0.85,скептицизъм,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti
"""Пускай Мангарангааааааааааа!""",Позитивен,0.62,ентусиазъм,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti
Браво на Чарлз Три!,Позитивен,0.95,възхищение,https://www.dnes.bg/a/448-svobodno-vreme/724088-charlz-treti-na-svatba-ozheni-plemenika-si
тоя да си яхва камилата и да го няма на света,Негативен,0.87,презрение,https://www.dnes.bg/a/448-svobodno-vreme/724088-charlz-treti-na-svatba-ozheni-plemenika-si
до 1 в момента сме си баш такива,Неутрален,0.55,спокойствие,https://www.dnes.bg/a/448-svobodno-vreme/724088-charlz-treti-na-svatba-ozheni-plemenika-si
Видео?!,Неутрален,0.45,изненада,https://www.dnes.bg/a/448-svobodno-vreme/724086-hilyadi-fenove-napraviha-nay-golyamata-meksikanska-valna-v-sveta
"Всичко в БДЖ е ретро, най вече кадрите...",Негативен,0.82,ирония,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya
"Tова е тактично напомняне на ерлектората, че нови влакове няма и няма да имаааа.....",Негативен,0.82,разочарование,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya
Същия като повечето влакове,Неутрален,0.75,спокойствие,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya
И толкова ли е трудно да се качи снимка на мотрисата вместо на някакви вагони?,Негативен,0.82,раздразнение,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya
"Пари няма, но апарата продължава да лудува на гърба на бачкера.",Негативен,0.92,възмущение,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya
Банкя е истински оазис! Прекрасно място с невероятна природа! Супер инициатива!,Позитивен,0.98,възхищение,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya
пускат сто годишен влак до Банкя за да може Боко Чекмеджето да си спомни младостта.,Негативен,0.72,ирония,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya
"Това е показен жест за ""уважение"" към банкянския *** ли ? Боко сам ли си е поръчал мотрисата ? За какво му е ? Та той вече мирише на умряла риба ! И ...някой да го е чувал и виждал , след като Чорапът му се изхрачи върху глупавата тиква ?",Негативен,0.97,презрение,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya
"Всички линии на БДЖ са ретро, на ниво 80-те години на миналия век.",Негативен,0.82,разочарование,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya
Тракийците да се сърдят на македонците във властта в София тогава.,Негативен,0.72,недоволство,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi
"Не е ли по-добре да се анатемосат Фердинанд и българските политици, които са предизвикали това, нападайки тъппо и глупаво Сърбия, като знаят, че Турция, Гърция, Сърбия точно това очакват, а Румъния е декларирала, че ще се намеси, ако има война между Съюзниците?",Негативен,0.91,гняв,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi
какво ли е декламирала йотова кви ли велики мисли е споделила,Негативен,0.72,ирония,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi
Как пък да не. То светец не се става само защото си избит. Плюс това са и езичници. Някой хора съвсем ги хапе коня,Негативен,0.82,пренебрежение,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi
"Разказите са на баба ми, която тогава е била на 8 години,дядо ми на 14. Живеели са в Еникьой, Узункюприйско. Едва са се измъкнали живи.Единият ми прадядо е оставил 400 дка земя,12 чифта волове, към 20 крави и овцете не помнеше колко точно.Златото са заровили в земята с надеждата да се върнат.С последни сили са влезли в нашата територия. Много от селото,които са се забавили с няколко часа са били убити.Това е историята.Имаме и карта на къщите,в Й/Еникьой/.по спомени на оцелелите и опис на имоти и",Негативен,0.88,скръб,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi
"Изказването е на депутата г-н Тошко Йорданов, че след като изготят бюджета църквата може да започне да канонизира за светци хората в неравностойно положение понеже издръжката от държавата е минус.",Негативен,0.87,сарказъм,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi
"До: Х 1. Избити от редовната турска войска по време на междусъюзническата война 1913 година. Не търси под вола теле, а чети исторически документи.",Негативен,0.72,гняв,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi
"На база изказване от трибуната на народното събрание, че йойто успее трябва да го направят светец за бюджета имам в предвид който не успяха да изготвят 2025г за 2026г.",Негативен,0.78,саркзъм,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi
Да не са направили бюджета на държавата и да им е стигнал на депутатите и църквата.,Негативен,0.82,сарказъм,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi
До: Гост 666-пий си хапчетата бе o лигyфрeн,Негативен,0.95,гняв,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
Поредната интрига на ***!,Негативен,0.82,раздразнение,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi
"Ний станахме като сърбежите! По канон канонизира се човек, който си е отдал живота за Православието, бил е морален живеел е за Св. Тайнства, или пък се мъчил за Православието, гонен притесняван или е убит за вярата. Всичко друго е политизирано.",Негативен,0.82,недоволство,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi
Това масово клане е извършено от Гърция и гърците!,Негативен,0.97,гняв,https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi
"А нещо за геноцида в Газа не каза ли.Цял свят бойкотира евреите,ние ги каним тук да ни пеят.Срам!",Негативен,0.95,гняв,https://www.dnes.bg/a/448-svobodno-vreme/724081-ishtar-tseliyat-svyat-tryabva-da-znae-za-praznika-na-rozata
"Това не беше ли мъж, преврънъл се на джендер-мендер-жена?",Негативен,0.85,презрение,https://www.dnes.bg/a/448-svobodno-vreme/724081-ishtar-tseliyat-svyat-tryabva-da-znae-za-praznika-na-rozata
"Ритарди Би готвеше в кухнята, изпи 3 литра кефир, разпърдя се и я помолиха да напусне.",Негативен,0.72,неудобство,https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london
"до щракачите злобари : я споделете вие къде сте били в чужбина , какво сте постигнали в животеца ви жалък , погледнете тая до вас . банковите си сметки ако въобще имате такива не ги поглеждайте .",Негативен,0.97,гняв,https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london
"И аз съм...посещавал индиския ресторант в Лондон. Помня че...хапнах Пиле тандури и за десерт Масала доса с пълнеж от сладък фастъчен крем. Нищо особено,обикновени манджи.",Неутрален,0.72,безразличие,https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london
И това трябва да е новина ли? След като има хиляди други по-важни. Дришo плаща ли ви?,Негативен,0.89,раздразнение,https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london
"""Григор и Ейса от лазурния бряг в Лондон "".От кога Лондон се е преместил на лазурния бряг.",Негативен,0.72,ирония,https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london
Тия пак се правят на интересни!Да ходят където си искат. Това няма нищо общо с проблемите на нормалните хора.,Негативен,0.87,раздразнение,https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london
"А нас , българите , какво ни топли това , че Глигорка се кефи в обкръжението на някакви индийци ли са , пакистанци ли са, мароканци ли са ? И ....какъв българин е Глигорчо ? Та той един сет не е играл на българска територия ! А и вече си е твърд пенсионер за големия тенис.",Негативен,0.87,пренебрежение,https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london
Туй е голямо събитие. Как бате Гришо похапва в индийски ресторан.,Позитивен,0.65,възхищение,https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london
брех таз йотова утепала се от пътуване,Неутрален,0.55,умора,https://www.dnes.bg/a/1-bulgaria/724078-13-000-na-lazur-dariha-v-macha-na-nadezhdata
Да се видят каква е оценката на хората за тях,Неутрален,0.65,любопитство,https://www.dnes.bg/a/1-bulgaria/724078-13-000-na-lazur-dariha-v-macha-na-nadezhdata
Само за тенискта 19 Йотова що материал е отошъл,Неутрален,0.45,любопитство,https://www.dnes.bg/a/1-bulgaria/724078-13-000-na-lazur-dariha-v-macha-na-nadezhdata
Моята прocтотuя е естествена и наследствена,Неутрален,0.55,спокойствие,https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii
