comment_text,article_url,article_title,comment_sentiment,comment_confidence,comment_dominant_emotion,article_title_sentiment,article_title_confidence,article_title_dominant_emotion,article_sentiment,article_confidence,article_dominant_emotion
"И къде се видя положителното на това правителство. Минаха повече от 40 дни от управлението. Това, което направиха е, да не си замразят заплатите и да слушаме прайма, колко е пропуски настроен. Скоро ще дойдат 100те дни. Тогава оправданията ще продължат и, най-вече, ще разберат, че изпълнителната власт не е, като президентство!",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.92,разочарование,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Няма нито една дясна и не русофилистична партия у нас, няколко са маскирани като проевропейски за заблуда и усвояване на евросредства: ГЕРБ, ПП, ДБ, ДПС, но са клонинги на БКП/ДС",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.92,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Според статистиката, 80 процента от популациите във някой страни са дебилни, това доказаха изборите у нас, в русия и Америка. Дебилите избират държавници по свой образ и подобие.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.95,презрение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Много си прав! Дебилството се подхранва от две поколения ниско образовани хора и дезинформация, която е имало пътеводител. Следващото е, да им се намери пастир, тн вожд! Всичко това е налице в България!",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.95,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"А, КАКВО КАЗВА, ПИТА, АНАЛИЗА на г-н Григор Лилов за преминалите ""избори""???? Какво????",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.78,раздразнение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
Българинът НЕ Е ЕВРОПЕЕЦ А ГАСТАРБАЙДЪР. Огромна разлика е в начина на мислене и действие. Българистанца си остава русороб крепостен руски селяндур,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.98,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"2009 започва ТИКВАТА с мазните си селски врътки за крадене и тъпкане на ЧЕКМЕДЖЕТАТА с Евра и от тогава до ""вчера"" такива дебили като теб му се дупеха да ги ПРАСКА с 200 в дупарата ...да ти Е.П.М....тъпа !! хахаха",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.98,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
ТИ СИ ДОКАЗАТЕЛСТВО ЗА ТОВА КОЕТО СЪМ НАПИСАЛ,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.58,раздразнение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
От 2009година до сега само врътки и схеми ти на мен аз на теб и мизерия за хората,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.95,разочарование,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Е,чЕкаме ги... С това навеждане на Баба европа скоро правителството ще има едноцифрено число подкрепа...",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.92,разочарование,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Мутропитешкия трол се изсипал да брани дезинформацията.Не сте нужни, мутропитеци.Чао",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.97,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
Жалки смешници !!!,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.98,презрение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Преходът на гнилата демокрация "" побългарена"" завърши!! Започва доизграждането наРАЗВИТОТО СОЦИАЛИСТИЧЕСКО ОБЩЕСТВОпод вещото ръководство на нашия пръв партиен и държавен ръководителДругарят Тодор Живков ,пардонРумен Радев !!!Ураааа",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.88,сарказъм,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"И кво излиза според Тренд, че Радев следва Станишев в любовта народна. То и без това Станишев му завеща куп социалисти - Кутев, Витанов, Христов и т.н.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.72,ирония,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
Ха-ха-ха-ха.,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Позитивен,0.78,радост,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
пОсмали малко и свали наколенките!,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.92,раздразнение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
Мунчо е негов тунингован клонинг. Сега ще ни управлява най-малко 10 години и после ще се чудите как да го изгоним.,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.94,тревога,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
Поредните циркаджии.,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.92,презрение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
Искам да попитам след раделението на ПП (педи Петрпханци) и дб (джендьрите на Байдън) сега за кого работят троловете ?коя оартия бранят повече ?,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.86,презрение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
Аз не съм гласувал за радев ама щом ППетрохан е извън властта съм щастлив.Е не се съмнявам че прокопиев ще успее да пробута свои хора на радев по втприя начин. Имало е периоди в които 1/3 от ГЕРБ са били хора на ДБ. ся пак ще пробият.Няма пълно щастие ама поне официално ППедофилите Джендьри няма свои министри.,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Позитивен,0.72,удовлетворение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Защо удобно забравяте, че най-високият рейтинг от много години досега има последното служебно правителство, на Гюров, което само за 2 месеца и в тотално враждебна среда на институциите направи много за страната ни.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.62,възмущение,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
Тихо че щенщ ти се отвори Фонтанелата.,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.78,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Ма толко ли беше трудно на предишните правителства да започнат мерки срещу цените (по скъпи сме от гърците вече) и да си замразят заплатите, без почивка за депутатите август също ужким дребни неща, но никой не ги правеше до сега ЗАЩО! Защо ГЕРБ не ги направи! Сарафов падна, на украинците незаконния град излезна това са все нещата, които се виждат.....",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.86,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Украинската мафия лъсна, защото само ВЪЗРАЖДАНЕ има/ше/ смелостта да ги разкрие. Радев няма нищо общо, досега управляващите нищо не са направили срещу КУБ...",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.86,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"и аз вярвам, че Наско патри5арха не е циганин и с9ин ДС мангал, обрязан мангал, който работил против племето си от мангали - рязани. Ирод 21:1",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.98,омраза,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"Вече и децата от детските градини знаят, че тия агенции са корумпирани и вадят манипулирани резултати в полза на този, който плаща. Все пак тия агенции се издържат с пари, нали, не с въздух.. и откъде идват тия пари а?",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.95,гняв,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
"И да го помпате, и да не го помпате, тоя балон скоро ще се спука.",https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.86,песимизъм,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
не съм много сигурен ...кат гледам министърчета къ обикалят държавата ... не съм сигурен кво работят и кво одобрение имат ....пак ще повторя .....човек който иска да работи ... работи това което трябва ... не обикаля ...разпорежда ...дава срок на поставената работа ...след това се докладва за извършената работа ...как е свършена и т.н. ако не е свършена има нарушения ...наказания -уволнения .................... резултатите излизат наяве и без показност и обиколки -разходки .,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",Негативен,0.86,недоволство,Позитивен,0.9,оптимизъм,Позитивен,0.85,оптимизъм
