comment,sentiment,confidence,dominant_emotion,article_url
"И къде се видя положителното на това правителство. Минаха повече от 40 дни от управлението. Това, което направиха е, да не си замразят заплатите и да слушаме прайма, колко е пропуски настроен. Скоро ще дойдат 100те дни. Тогава оправданията ще продължат и, най-вече, ще разберат, че изпълнителната власт не е, като президентство!",Негативен,0.92,разочарование,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Няма нито една дясна и не русофилистична партия у нас, няколко са маскирани като проевропейски за заблуда и усвояване на евросредства: ГЕРБ, ПП, ДБ, ДПС, но са клонинги на БКП/ДС",Негативен,0.91,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Според статистиката, 80 процента от популациите във някой страни са дебилни, това доказаха изборите у нас, в русия и Америка. Дебилите избират държавници по свой образ и подобие.",Негативен,0.95,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Много си прав! Дебилството се подхранва от две поколения ниско образовани хора и дезинформация, която е имало пътеводител. Следващото е, да им се намери пастир, тн вожд! Всичко това е налице в България!",Негативен,0.95,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"А, КАКВО КАЗВА, ПИТА, АНАЛИЗА на г-н Григор Лилов за преминалите ""избори""???? Какво????",Негативен,0.87,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Българинът НЕ Е ЕВРОПЕЕЦ А ГАСТАРБАЙДЪР. Огромна разлика е в начина на мислене и действие. Българистанца си остава русороб крепостен руски селяндур,Негативен,0.97,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"2009 започва ТИКВАТА с мазните си селски врътки за крадене и тъпкане на ЧЕКМЕДЖЕТАТА с Евра и от тогава до ""вчера"" такива дебили като теб му се дупеха да ги ПРАСКА с 200 в дупарата ...да ти Е.П.М....тъпа !! хахаха",Негативен,0.98,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
ТИ СИ ДОКАЗАТЕЛСТВО ЗА ТОВА КОЕТО СЪМ НАПИСАЛ,Негативен,0.62,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
От 2009година до сега само врътки и схеми ти на мен аз на теб и мизерия за хората,Негативен,0.95,разочарование,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Е,чЕкаме ги... С това навеждане на Баба европа скоро правителството ще има едноцифрено число подкрепа...",Негативен,0.82,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Мутропитешкия трол се изсипал да брани дезинформацията.Не сте нужни, мутропитеци.Чао",Негативен,0.97,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Жалки смешници !!!,Негативен,0.97,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Преходът на гнилата демокрация "" побългарена"" завърши!! Започва доизграждането наРАЗВИТОТО СОЦИАЛИСТИЧЕСКО ОБЩЕСТВОпод вещото ръководство на нашия пръв партиен и държавен ръководителДругарят Тодор Живков ,пардонРумен Радев !!!Ураааа",Негативен,0.82,сарказъм,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"И кво излиза според Тренд, че Радев следва Станишев в любовта народна. То и без това Станишев му завеща куп социалисти - Кутев, Витанов, Христов и т.н.",Негативен,0.72,ирония,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Ха-ха-ха-ха.,Позитивен,0.72,забавление,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
пОсмали малко и свали наколенките!,Негативен,0.72,раздразнение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Мунчо е негов тунингован клонинг. Сега ще ни управлява най-малко 10 години и после ще се чудите как да го изгоним.,Негативен,0.88,тревога,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Поредните циркаджии.,Негативен,0.88,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Искам да попитам след раделението на ПП (педи Петрпханци) и дб (джендьрите на Байдън) сега за кого работят троловете ?коя оартия бранят повече ?,Негативен,0.82,пренебрежение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Аз не съм гласувал за радев ама щом ППетрохан е извън властта съм щастлив.Е не се съмнявам че прокопиев ще успее да пробута свои хора на радев по втприя начин. Имало е периоди в които 1/3 от ГЕРБ са били хора на ДБ. ся пак ще пробият.Няма пълно щастие ама поне официално ППедофилите Джендьри няма свои министри.,Позитивен,0.61,злорадство,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Защо удобно забравяте, че най-високият рейтинг от много години досега има последното служебно правителство, на Гюров, което само за 2 месеца и в тотално враждебна среда на институциите направи много за страната ни.",Негативен,0.72,негодувание,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Тихо че щенщ ти се отвори Фонтанелата.,Негативен,0.72,заплаха,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Ма толко ли беше трудно на предишните правителства да започнат мерки срещу цените (по скъпи сме от гърците вече) и да си замразят заплатите, без почивка за депутатите август също ужким дребни неща, но никой не ги правеше до сега ЗАЩО! Защо ГЕРБ не ги направи! Сарафов падна, на украинците незаконния град излезна това са все нещата, които се виждат.....",Негативен,0.88,възмущение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Украинската мафия лъсна, защото само ВЪЗРАЖДАНЕ има/ше/ смелостта да ги разкрие. Радев няма нищо общо, досега управляващите нищо не са направили срещу КУБ...",Негативен,0.87,негодувание,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"и аз вярвам, че Наско патри5арха не е циганин и с9ин ДС мангал, обрязан мангал, който работил против племето си от мангали - рязани. Ирод 21:1",Негативен,0.95,омраза,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Вече и децата от детските градини знаят, че тия агенции са корумпирани и вадят манипулирани резултати в полза на този, който плаща. Все пак тия агенции се издържат с пари, нали, не с въздух.. и откъде идват тия пари а?",Негативен,0.93,цинизъм,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"И да го помпате, и да не го помпате, тоя балон скоро ще се спука.",Негативен,0.82,песимизъм,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
не съм много сигурен ...кат гледам министърчета къ обикалят държавата ... не съм сигурен кво работят и кво одобрение имат ....пак ще повторя .....човек който иска да работи ... работи това което трябва ... не обикаля ...разпорежда ...дава срок на поставената работа ...след това се докладва за извършената работа ...как е свършена и т.н. ако не е свършена има нарушения ...наказания -уволнения .................... резултатите излизат наяве и без показност и обиколки -разходки .,Негативен,0.87,скептицизъм,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"ми направи добро фпичатление плешият замеделски измамник, такъв изказ все едно е бил 10 години всред мазни комунияги у Сибир при Путин.",Негативен,0.91,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
По важно е с какъв рейтинг ще завърши.,Неутрален,0.72,спокойствие,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"За лумпените , Не е важно дали паницата е Пълна ,Важното е да вярват че е така !",Негативен,0.82,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
На последните избори социолозите подцениха само ПБ.,Неутрален,0.72,спокойствие,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
На последните избори социолозите подцениха овчето стадо!!!,Негативен,0.82,презрение,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Резултатите от последните избори бяха ""масажирани"" както и на всички предишни. Към настоящия момент такъв вариант устройва господарите. А нас дали ни устройва е без значение - повечето са вече сготвени.",Негативен,0.93,цинизъм,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
"Беше до вчера. Вчера стана ясно, че това не е български кабинет. Това е руска колониална власт. Губернатор Рубльов.....Въобще не се мисли за проблемите на българите. За инфлация, за заплати, за бюджета нищо. Ама видите ли ги било страх от хиперзвукови ракети, които са 10 броя в цяла Русия и са предназначени за скъпи цели, каквито в България няма нито една!!! Няма какво в България да оправдае ракета за 50-100 милиона долара. Просто нямаме цели стрували толкова, колкото ракетата....Ама пак наводнения, сеч на гори, беднотия, липса на инвестиции, слабо образование... въобще не вълнуват льотчика.Мега зле са. Просто човек да ги гледа какво правят. Всеки ден се излагат повече....",Негативен,0.97,гняв,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
Най - накрая има правителство което работи що годе адекватно и хората го усещат. След тоталния идиотизъм и некомпетентност последните 10 на години най-накаря има причини за някакъв оптимизъм. Ха дано да профдължават в същия дух!,Позитивен,0.72,надежда,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
И какво усети???,Неутрален,0.55,любопитство,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting
