comment_text,article_url,article_title,comment_sentiment,comment_confidence,comment_dominant_emotion,article_title_sentiment,article_title_confidence,article_title_dominant_emotion,article_sentiment,article_confidence,article_dominant_emotion
"В областните градове има можещи изпълнители и добри състави, винаги когато обикаляме из страната посещаваме било театър било други културни мероприятия.",https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",Позитивен,0.86,удовлетворение,Негативен,0.72,разочарование,Негативен,0.82,разочарование
Жалко..няма да могат да откраднат от това събитие..,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",Негативен,0.82,възмущение,Негативен,0.72,разочарование,Негативен,0.82,разочарование
Каква опера ще се получи на площад с нулева акустика е друг въпрос?,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",Негативен,0.72,скептицизъм,Негативен,0.72,разочарование,Негативен,0.82,разочарование
"Тази сутрин и доста съботи и недели ""Денят започва"" с Георги Любенов, а участниците съвсем в началото на интервютата не поглеждат имената си за по няколко секунди, а на Г.Л. в ""Денят започва"" надписът му стои по 3-те часа!",https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",Негативен,0.78,недоволство,Негативен,0.72,разочарование,Негативен,0.82,разочарование
"Пари за заплатите на шапкарите от НАТО има, за опера няма!",https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",Негативен,0.92,възмущение,Негативен,0.72,разочарование,Негативен,0.82,разочарование
"Какви опери на площада, какви пет евро. То да видим утре дали ще преведат пенсиите.",https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",Негативен,0.78,скептицизъм,Негативен,0.72,разочарование,Негативен,0.82,разочарование
"""Пускай Мангарангааааааааааа!""",https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",Позитивен,0.82,ентусиазъм,Негативен,0.72,разочарование,Негативен,0.82,разочарование
Браво на Чарлз Три!,https://www.dnes.bg/a/448-svobodno-vreme/724088-charlz-treti-na-svatba-ozheni-plemenika-si,"Чарлз Трети на сватба, ожени племеника си",Позитивен,0.95,одобрение,Неутрален,0.85,спокойствие,Позитивен,0.82,радост
тоя да си яхва камилата и да го няма на света,https://www.dnes.bg/a/448-svobodno-vreme/724088-charlz-treti-na-svatba-ozheni-plemenika-si,"Чарлз Трети на сватба, ожени племеника си",Негативен,0.98,гняв,Неутрален,0.85,спокойствие,Позитивен,0.82,радост
до 1 в момента сме си баш такива,https://www.dnes.bg/a/448-svobodno-vreme/724088-charlz-treti-na-svatba-ozheni-plemenika-si,"Чарлз Трети на сватба, ожени племеника си",Неутрален,0.72,спокойствие,Неутрален,0.85,спокойствие,Позитивен,0.82,радост
Видео?!,https://www.dnes.bg/a/448-svobodno-vreme/724086-hilyadi-fenove-napraviha-nay-golyamata-meksikanska-valna-v-sveta,Хиляди фенове направиха най-голямата мексиканска вълна в света,Неутрален,0.65,изненада,Позитивен,0.82,ентусиазъм,Позитивен,0.92,радост
"Всичко в БДЖ е ретро, най вече кадрите...",https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,Негативен,0.86,разочарование,Позитивен,0.72,въодушевление,Позитивен,0.82,радост
"Tова е тактично напомняне на ерлектората, че нови влакове няма и няма да имаааа.....",https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,Негативен,0.88,разочарование,Позитивен,0.72,въодушевление,Позитивен,0.82,радост
Същия като повечето влакове,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,Неутрален,0.86,безразличие,Позитивен,0.72,въодушевление,Позитивен,0.82,радост
И толкова ли е трудно да се качи снимка на мотрисата вместо на някакви вагони?,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,Негативен,0.88,раздразнение,Позитивен,0.72,въодушевление,Позитивен,0.82,радост
"Пари няма, но апарата продължава да лудува на гърба на бачкера.",https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,Негативен,0.92,гняв,Позитивен,0.72,въодушевление,Позитивен,0.82,радост
Банкя е истински оазис! Прекрасно място с невероятна природа! Супер инициатива!,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,Позитивен,0.98,възхищение,Позитивен,0.72,въодушевление,Позитивен,0.82,радост
пускат сто годишен влак до Банкя за да може Боко Чекмеджето да си спомни младостта.,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,Негативен,0.88,подигравка,Позитивен,0.72,въодушевление,Позитивен,0.82,радост
"Това е показен жест за ""уважение"" към банкянския *** ли ? Боко сам ли си е поръчал мотрисата ? За какво му е ? Та той вече мирише на умряла риба ! И ...някой да го е чувал и виждал , след като Чорапът му се изхрачи върху глупавата тиква ?",https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,Негативен,0.96,презрение,Позитивен,0.72,въодушевление,Позитивен,0.82,радост
