,sentiment,confidence,dominant_emotion
"В областните градове има можещи изпълнители и добри състави, винаги когато обикаляме из страната посещаваме било театър било други културни мероприятия.",Позитивен,0.86,удовлетворение
Жалко..няма да могат да откраднат от това събитие..,Негативен,0.82,ирония
Каква опера ще се получи на площад с нулева акустика е друг въпрос?,Негативен,0.76,скептицизъм
"Тази сутрин и доста съботи и недели ""Денят започва"" с Георги Любенов, а участниците съвсем в началото на интервютата не поглеждат имената си за по няколко секунди, а на Г.Л. в ""Денят започва"" надписът му стои по 3-те часа!",Негативен,0.72,раздразнение
"Пари за заплатите на шапкарите от НАТО има, за опера няма!",Негативен,0.92,недоволство
"Какви опери на площада, какви пет евро. То да видим утре дали ще преведат пенсиите.",Негативен,0.86,тревога
"""Пускай Мангарангааааааааааа!""",Позитивен,0.82,ентусиазъм
Браво на Чарлз Три!,Позитивен,0.95,възхищение
тоя да си яхва камилата и да го няма на света,Негативен,0.96,гняв
до 1 в момента сме си баш такива,Неутрален,0.78,спокойствие
Видео?!,Неутрален,0.78,изненада
"Всичко в БДЖ е ретро, най вече кадрите...",Негативен,0.87,разочарование
"Tова е тактично напомняне на ерлектората, че нови влакове няма и няма да имаааа.....",Негативен,0.88,разочарование
Същия като повечето влакове,Неутрален,0.86,безразличие
И толкова ли е трудно да се качи снимка на мотрисата вместо на някакви вагони?,Негативен,0.86,раздразнение
"Пари няма, но апарата продължава да лудува на гърба на бачкера.",Негативен,0.92,гняв
Банкя е истински оазис! Прекрасно място с невероятна природа! Супер инициатива!,Позитивен,0.98,възхищение
пускат сто годишен влак до Банкя за да може Боко Чекмеджето да си спомни младостта.,Негативен,0.88,презрение
"Това е показен жест за ""уважение"" към банкянския *** ли ? Боко сам ли си е поръчал мотрисата ? За какво му е ? Та той вече мирише на умряла риба ! И ...някой да го е чувал и виждал , след като Чорапът му се изхрачи върху глупавата тиква ?",Негативен,0.96,гняв
"Всички линии на БДЖ са ретро, на ниво 80-те години на миналия век.",Негативен,0.92,разочарование
Тракийците да се сърдят на македонците във властта в София тогава.,Негативен,0.82,гняв
"Не е ли по-добре да се анатемосат Фердинанд и българските политици, които са предизвикали това, нападайки тъппо и глупаво Сърбия, като знаят, че Турция, Гърция, Сърбия точно това очакват, а Румъния е декларирала, че ще се намеси, ако има война между Съюзниците?",Негативен,0.94,възмущение
какво ли е декламирала йотова кви ли велики мисли е споделила,Негативен,0.82,сарказъм
Как пък да не. То светец не се става само защото си избит. Плюс това са и езичници. Някой хора съвсем ги хапе коня,Негативен,0.92,презрение
"Разказите са на баба ми, която тогава е била на 8 години,дядо ми на 14. Живеели са в Еникьой, Узункюприйско. Едва са се измъкнали живи.Единият ми прадядо е оставил 400 дка земя,12 чифта волове, към 20 крави и овцете не помнеше колко точно.Златото са заровили в земята с надеждата да се върнат.С последни сили са влезли в нашата територия. Много от селото,които са се забавили с няколко часа са били убити.Това е историята.Имаме и карта на къщите,в Й/Еникьой/.по спомени на оцелелите и опис на имоти и",Негативен,0.95,тъга
"Изказването е на депутата г-н Тошко Йорданов, че след като изготят бюджета църквата може да започне да канонизира за светци хората в неравностойно положение понеже издръжката от държавата е минус.",Негативен,0.86,разочарование
"До: Х 1. Избити от редовната турска войска по време на междусъюзническата война 1913 година. Не търси под вола теле, а чети исторически документи.",Негативен,0.86,гняв
"На база изказване от трибуната на народното събрание, че йойто успее трябва да го направят светец за бюджета имам в предвид който не успяха да изготвят 2025г за 2026г.",Негативен,0.78,разочарование
Да не са направили бюджета на държавата и да им е стигнал на депутатите и църквата.,Негативен,0.78,недоволство
До: Гост 666-пий си хапчетата бе o лигyфрeн,Негативен,0.98,гняв
Поредната интрига на ***!,Негативен,0.88,раздразнение
"Ний станахме като сърбежите! По канон канонизира се човек, който си е отдал живота за Православието, бил е морален живеел е за Св. Тайнства, или пък се мъчил за Православието, гонен притесняван или е убит за вярата. Всичко друго е политизирано.",Негативен,0.86,възмущение
Това масово клане е извършено от Гърция и гърците!,Негативен,0.98,гняв
"А нещо за геноцида в Газа не каза ли.Цял свят бойкотира евреите,ние ги каним тук да ни пеят.Срам!",Негативен,0.96,гняв
"Това не беше ли мъж, преврънъл се на джендер-мендер-жена?",Негативен,0.86,презрение
"Ритарди Би готвеше в кухнята, изпи 3 литра кефир, разпърдя се и я помолиха да напусне.",Негативен,0.78,отвращение
"до щракачите злобари : я споделете вие къде сте били в чужбина , какво сте постигнали в животеца ви жалък , погледнете тая до вас . банковите си сметки ако въобще имате такива не ги поглеждайте .",Негативен,0.98,гняв
"И аз съм...посещавал индиския ресторант в Лондон. Помня че...хапнах Пиле тандури и за десерт Масала доса с пълнеж от сладък фастъчен крем. Нищо особено,обикновени манджи.",Негативен,0.76,разочарование
И това трябва да е новина ли? След като има хиляди други по-важни. Дришo плаща ли ви?,Негативен,0.92,раздразнение
"""Григор и Ейса от лазурния бряг в Лондон "".От кога Лондон се е преместил на лазурния бряг.",Негативен,0.72,ирония
Тия пак се правят на интересни!Да ходят където си искат. Това няма нищо общо с проблемите на нормалните хора.,Негативен,0.93,раздразнение
"А нас , българите , какво ни топли това , че Глигорка се кефи в обкръжението на някакви индийци ли са , пакистанци ли са, мароканци ли са ? И ....какъв българин е Глигорчо ? Та той един сет не е играл на българска територия ! А и вече си е твърд пенсионер за големия тенис.",Негативен,0.93,раздразнение
Туй е голямо събитие. Как бате Гришо похапва в индийски ресторан.,Неутрален,0.72,ирония
брех таз йотова утепала се от пътуване,Негативен,0.82,ирония
Да се видят каква е оценката на хората за тях,Неутрален,0.92,неутралност
Само за тенискта 19 Йотова що материал е отошъл,Негативен,0.72,недоволство
Моята прocтотuя е естествена и наследствена,Негативен,0.82,самоирония
"Християнството е наложено НАСИЛСТВЕНО на българите, след унизителна военна загуба на хан Борис от Василевса. Това е норма в християнството. Отто също насилствено християнизира Германия, например.",Негативен,0.87,възмущение
"И ти нямаш биологичен баща,и кво от това бе тролей жалък???",Негативен,0.98,презрение
"""О лигофрени"" са хората с нарушен разум, приемащи за възможно, жена да зачене и роди Исус, без да има биологичен баща!",Негативен,0.95,презрение
"*** са хората с нарушен разум, приемащи за възможно, жена да зачене и роди Исус, без да има биологичен баща!",Негативен,0.96,презрение
Ама ти наистина си о лuroфрeн...,Негативен,0.95,презрение
"Единствено човек с нарушен разум, може да приеме за възможно, жена да зачене и роди Исус, без да има биологичен баща!",Негативен,0.92,презрение
Tadata - live upbeat music .... tatada .... https://youtu.be/b-I2s5zRbHg?list=RDMMMy2FRPA3Gf8,Позитивен,0.78,радост
До: Гост 666-БОГ да те прости,Негативен,0.78,скръб
До: Гост 666-И двете,Неутрален,0.95,неутралност
А според вас аз шизoфриник ли съм или олuryфрeн,Негативен,0.86,несигурност
"До: Гост 666-Ха-лка, кофти лепило си взело този път",Негативен,0.82,разочарование
"Тиквите не са узрели още, какво ще чегъртат хората.",Негативен,0.62,ирония
"до Гост 666: не съм ти използвал името, но искам да ти кажа, че: 1. голям грях е да се покланяш на дявола и да кълнеш; 2. смъpmma не е край, а ВРАТА КЪМ ВЕЧНОСТТА където всеки ще получи според това, което е заслужил тук на Земята. Абсолютно безпредметно е да кълнеш за смъpm защото самото преминаване през ""вратата"" по никакъв начин не променя участта на душата - ако е вършила добри дела отива в рая, ако не - на другото място, но присъдата не зависи от датата на преминаване, разбираш ли???",Негативен,0.86,осъждане
А и казвахме на куpBатa да не те събира от земята с вилицата...,Негативен,0.92,гняв
От утре понеделник 8 юни до 29 юни са Петровите или апостолски пости. ЧЕСТИТ ПРАЗНИК ДНЕС И ЛЕК И СПАСИТЕЛЕН ПОСТ на всички от утре!,Позитивен,0.9,радост
"Свети Йоан Рилски живее дълги години в отшелничество. По-късно при него идват и други братя. Св. Иван основава манастир с ЦЪРКВА, ЛИТУРГИЯ и ПРИЧАСТИЕ. Престани да хулиш светията и Светата православна църква, Веселине, за да не те накаже Господ за безумието ти.",Негативен,0.82,възмущение
"До: Луцифер-госте, наистина не си нормално",Негативен,0.95,гняв
"Черен,кpuвоглав чaлгonuтек още ли водиш жалkoто си съществуване?",Негативен,0.98,презрение
"Неделята на всички Божии светии е посветена на онези, които са просияли като светии с делата си, но все още не са канонизирани или не са ни известни. Също така е напомняне, че светиите са хора и също като нас са били изкушавани с гордост, слава, богатство, плътски и всякакви други страсти. Те не са ангели небесни и също като нас са имали своите съмнения и понякога дори и падения. Но с молитва и помощ от Бога са намерили в себе си сили да се отрекат от злото и да станат ПРИМЕР за нас грешните.",Позитивен,0.82,вдъхновение
"Вярвате в завещание, затова оставихте дете си на пето Лама",Негативен,0.62,укор
Абе спрете да разбивате семейства с тия статии,Негативен,0.94,гняв
"Статиите за успехите на Украйна, *** и ""разпадането на Русия"".",Неутрален,0.62,неутралност
"Ако ви се прави с*кс, по-добре е да правите такъв. Опитите да си оправите връзките е на втора линия, защото първото е по-големият фактор.",Неутрален,0.82,неутралност
И още една заблуда: ТЯ може да си прави каквото си иска и да го командва и ще бъдат щастливи.,Негативен,0.86,скептицизъм
".. от нея и дори имаше внуче. Той настоял тя да роди детето, обещал да го припознае, да се разведе и да се ожени за нея. Два месеца след раждането тя отново забременя от него и стана скандал - родителите й настояваха за аборт, но любовникът не разреши. Няколко години след второто раждане все още не беше припознал децата, нито се беше развел. После им загубих дирите, не знам какво е станало.Изводът ми е, че не бива да се слагат жестоки юзди на млад човек, хормонът рано или късно ще си каже думата",Негативен,0.82,разочарование
"Бегло познавах семейство, което се грижеше за дъщеря си като за писано яйце, но и много я ограничаваха - заставиха я да следва задочно /още през соца/, за да не ходи на студентски бригади, на които според тях ставали неморални неща. Заставяха я да ходи на почивка само с тях. Разрешаваха й да дружи само с едно съседско момиче. И в крайна сметка, когато беше на 23 г. и за първи път отиде в командировка далеч от родителския контрол, тя забременя от шефа си, който беше женен, 30 г. по-възрастен от",Негативен,0.88,разочарование
"Че ако лижете жена си редовно, в крайна сметка лекото ухание на веяна скумрия от чатала и ще изчезне!",Негативен,0.86,отвращение
Че точно вашата жена не е миндилИспермояд!,Негативен,0.92,презрение
"До: анонимен 8Римските войници са носели сандали, също и древногръцките, спартанските и тракийските.",Неутрален,0.95,спокойствие
най жалката картинка е мъж да сложи сандали не знам от къде тая мода ама автоматично изглежда гей,Негативен,0.97,презрение
Краката ми миришат на оцет.,Негативен,0.82,отвращение
"Няма ли дама с по фини ръце, кебапчета ли рекламира.",Негативен,0.88,пренебрежение
"На 3 юни 2026 когато започна Международният Икономически Форум в Санкт Петербург, само на 17 км от Форума украински дронове посетиха петролния терминал. От сателитните снимки стана ясно, че петролният терминал вече се нуждае от икономическа сделка за модернизация. Там има 21 резервоар цистерни за петролни продукти и горива. През терминала годишно могат да преминават 12,5 млн. тона продукти АКО КРЕМЪЛ ЗАОБИЧА МИРА.",Негативен,0.82,ирония
"КРЕМЪЛСКИ ВИСОТИ : Украинските дронове поздравиха Санкт Петербург на 3 юни 2026 когато започна Международният Икономически Форум. Петролният терминал на 17 км от Форума беше посетен. Сателитните снимки изясниха : Петролният терминал вече се нуждае от икономическа сделка за модернизация. Там има 21 резервоар цистерни за петролни продукти и горива. През терминала годишно могат да преминават 12,5 млн. тона продукти.",Негативен,0.78,ирония
Любимият ми цвят,Позитивен,0.62,харесване
За голяма нужда?,Неутрален,0.78,любопитство
Ти ако знаеш жена ти с още колко е правила тройки,Негативен,0.92,злорадство
"Май сте се объркали нещо. Тази статия е за Жената днес, а тук е сямо днес и не е за жени. Камоли за смотaнuте от статията",Негативен,0.93,раздразнение
Кекс.,Неутрален,0.98,спокойствие
Да й бръсне гърбъ .,Негативен,0.65,презрение
Скъпи... Хайде да ми го вкapaш в дyyпиитo.,Позитивен,0.74,желание
"***, на вас ви е нужен кокошарник и петел. Исляма доста добре е рзрешил нуждите ви в харема. От друга страна всичко което си мислите че някой ви е длъжен е забранено от закона.",Негативен,0.92,гняв
Да й души дивия .,Негативен,0.72,гняв
Повече от 20 минути никой не е реагирал на този материал. На какво ли се дължи това?,Неутрален,0.72,любопитство
"1.Една жена никога не трябва да моли мъжа си,да в плющи отзад.Той трябва сам да се сеща.2.Една жена никога не трябва да моли мъжа си,да и се разтовари в устата при бибитка.Той трябва сам да се сеща.",Неутрален,0.72,очакване
Никой не го интересува освен някои гнясажийскиИЗМЕКЯРИ,Негативен,0.9,гняв
"Какъв принц е този, нали го лишиха от титли и отговорности към кралството?",Негативен,0.82,скептицизъм
кой са тези? Хари потър ли?,Неутрален,0.82,любопитство
Ритарди Би скъса пернишкия винкел от езда и гъдел.,Неутрален,0.55,забавление
рИвЪ !,Негативен,0.62,тъга
"Къс му бил кабело, не може да и достигне камилската ...",Негативен,0.78,подигравка
Отиде ни вечерята с жената ревем и двамата,Негативен,0.93,тъга
Тази кубинка е способна да накара Тръмп да обяви Куба за най-приятелската страна на САЩ.,Позитивен,0.72,възхищение
"Я камилата, я камиларят, там е джендър бендър. Не ни занимавайте с глупости.",Негативен,0.92,раздразнение
"Малее,трепач,аууу",Позитивен,0.92,възхищение
Защо трябваше да публикувате тази новина преди да си легна. Няма да мога да спя!,Негативен,0.78,безпокойство
"Кат я гледам,нема да остане на сухо... Милиардерът също..",Неутрален,0.62,ирония
На окабелената камила и милиардер не й е достатъчен,Негативен,0.78,презрение
"Преживяла... горката... Те хората по 5 пъти пробват неуспешно, тя видиш ли преживяла! Сигурно е била на косъм! Която и да е тая изобщо.",Негативен,0.92,презрение
"До: пенсионер-ветеран:Важното в случая е,че родила още едно еврейче на господин Голдсмит. Важно е,да се раждат от онези Богоизбраните носещи малки шапчици.",Негативен,0.92,презрение
"42-годишно си е Тотална МеноПауза - кво ИнВитро кви 5евроцента - тя Кората с Яйца отдавна е свършила! Осъзнайте се, Феминистки - никой НЕ е по-силен от Природата!!",Негативен,0.96,презрение
"Много стресиран звучиш. Ела чичовото, ще ти помогна със стреса, ще ти дам да ближеш един сладолед без захар, накрая и парички ще ти дам ;)",Негативен,0.82,подигравка
"Е то за какво е сладоледа, ако няма захар, лед от хладилника същата работа, само че е без пари.",Негативен,0.86,разочарование
Да премине към действия най-сетне.,Негативен,0.62,нетърпение
"Ох, сега и за таз кака ли да се притесняваме? С имотно състояние между 50 и 100 милиона долара, решила си е с каква ориентация иска да е. Да си харчи парите по други каки, не ни занимавайте нас!",Негативен,0.88,раздразнение
"Кара, продължавай да позволяваш на хората да се възползват от теб сексуално, зарежи всичко останали алабалистики.",Негативен,0.96,презрение
Издигнала се е като дава котката а после уж имала огризения ама след като направила парата.,Негативен,0.86,презрение
"До: Питам кога Питайте прогресистите, нали УЖ щяха да се борят с Tиkвата и Прасетоо?",Негативен,0.86,разочарование
"КОГА НАЙ ПОСЛЕ ГДБОП ЩЕ СЕ САМОСЕЗИРА И ЩЕ АРЕСТУВА СТОЛИЧНИЯ НАРКОМАН И ИЗВЕСТЕН НАРКОДИЛЪР 61-на ГОДИШНИЯ АЛЕН ГЕОРГИЕВ ЛЕЖАЛ ЗА ПЕДОФИЛИЯ,КОЙТО ДЕНОНОЩНО ПРОДАВА НАРКОТИЦИ 24/7 НА УЛ.ВЕСЛЕЦ 21; В МАЗЕТО НА ВЪПРОСНАТА ЖИЛИЩНА КООПЕРАЦИЯ ,БУКВАЛНО НА РАЗСТОЯНИЕ 300 МЕТРА ОТ МИНИСТЕРСКИ СЪВЕТ В СОФИЯ ?ПИТАМ, ДОКОГА ЩЕ Е ТОЗИ ПОЛИЦЕЙСКИ ЧАДЪР ?",Негативен,0.98,гняв
Брадатият мирише на мечка .,Негативен,0.88,отвращение
Сутрин се завръща сънено.,Неутрален,0.86,спокойствие
"Моми, юруш към Великобритания! Може там да са останали още някои неженени принцове. Ако пък са се изчерпали, лордове, графове и барони ергени сигурно има!",Позитивен,0.72,веселие
"Ама ти си крайно неинформирано момче! Сефтето в любовта за принц Хари е била именно мома, която е работила в конюшната на едно от именията на баща му. Значи от обора. Чети повече за да научиш тази романтична история, поучително е. При братовчед му пък се е наложила мед.сестра. Какво да правиш, късмет!",Негативен,0.88,подигравка
"До: До: Извод Ти бегай, щом знаеш за оборите, значи ще идеш направо там, нЕма да се туткаш.",Негативен,0.68,раздразнение
"Ами бегай на запад и ти. Принца те очаква, нема кой да му мете обора хахаха",Негативен,0.95,подигравка
