,sentiment,confidence,dominant_emotion
И за коя партия копуват,Неутрален,0.62,подозрение
Дали това дело е внесено в съда,Неутрален,0.95,любопитство
"на зашпад такива ги вкарват в затвора, вие да сте чули някой в БГ затвор? няма и да чуете",Негативен,0.92,разочарование
"пари като шума, ама така е като искат да си запазят власта защото от там ще паднат още повече. Бедната душа се продава за 50 евро",Негативен,0.92,разочарование
"Забравихте да с споменете вчерашната сводка на служебния министър на МВР: в село .Долни Цибър Монтанско в списъците на гласуващите са включени 187 починали хора. В Пловдив двама души изтеглили от банка 87 хил. евро и ги напъхали в раниците си. Учудените чиновници от банката уведомили органите на МВР. Оказало се, че парите са предназначени за закупуване на гласове. С тези пари може да се закупят 1740-1800 гласа.",Негативен,0.92,възмущение
"До до възмутен. Хе-хе-хе, глyпак, че то точно това са кошаревските свидетели - явяват се пред СЪДА с фалшивите си показания. И как МВР доказват пък? Дума срещу дума - нито белязани банкноти, нито отпечатъци от пръсти, нито СРС-та - разговори или видео.",Негативен,0.94,гняв
"До 17. Много си скаран с истината. Ще намерят начин да им платят - или в деня на изборите, или след това. А някои на инат ще гласуват за Шиши и без пари. Но те само турците му стигат.",Негативен,0.92,гняв
"А бе Канев като заявявашразни неща ,що не заявиш за коя партия става въпрос ,а не разни интриганти да дрънкат каквото им падне и да набеждават невинни щото ги мразят?",Негативен,0.9,гняв
"До: ВинетуЕ толкова жалък слуга на Пеевски,че буди само съжаление.",Негативен,0.95,презрение
"До: ВъзмутенДали са показания пред съдия.Шиши да докаже,че не им е плащал и да ги съди за лъжесвидетелство.Ама надали.",Негативен,0.82,недоверие
"До: Гледна точкаЕ,ще постигнат.Най-малкото е,че тези като не си вземат 50евро,просто не гласуват.Не помниш.ли Пазарджик?Шишо изкупи всичко и ГЕРБ останаха с 6%.",Негативен,0.78,разочарование
"До дървения шоп. И точно ТИ пък как го разбра това бе, оххлюв невзрачен? Или и ти си от тези, които дишат единствено благодарение на омразата си към Борисов? А, и не си сменяй ника, много ти отива.",Негативен,0.98,гняв
"До 13. Кое е да е можело ве, глyпак наивен? Нито нещо съществено ще постигнат, нито това е нещо ново. И преди е имало такива акции, просто преди не се шумеше, а тези сега за всяко измислено задържане тръбят по всички медии.",Негативен,0.96,гняв
"А откъде са сигурни, че тези 11 000 евро за купуване на гласове, а не са за заеми? И че тримата кошаревски свидетели не клепат с фалшиви изявления?",Негативен,0.82,недоверие
Можело значи се оказва,Неутрален,0.62,изненада
Дпс е.... А вие не гласувайте че да не вземе да се промени нещо,Негативен,0.78,разочарование
"Купуват продават, ама ти да видиш! 6.5 мил. имали право да гласуват!!! Ей там ви цакат най отзад!!!",Негативен,0.93,гняв
"Браво, добре ги подбраха дилърите на шonapa!!!",Позитивен,0.76,одобрение
А тези предизборни ремонти на пътища ще ги проверите ли финансират ли някой?,Негативен,0.78,недоверие
"Поне при купуването и продаването инфлацията не е толкова голяма. Как не са почнали и по сметка да ги превеждат, че да не ги хващат от полицията?",Негативен,0.76,възмущение
"добре де, що не казват че толкоз кинти дават само ППДБДЕБИЛИТЕ от Петpoxaн. Щот умник гюро, емо узото и голямото ухо са ппдебедебили?",Негативен,0.92,гняв
"Гн Министър Дечев,гн *** Секретар на МВР,защо гн Деректор на ОД МВР гр Смолян гн Пачеджиев не размести полицаите от гр Доспат,те са послушковците на общ кмет гн Елин Радев.Те помагат за копуване на гласове и прикриване на всички далавери.Това трябваше даго направите в началото.Сега е разгара на всички далавери.",Негативен,0.95,гняв
Сега разбрахте ли защо Тиквата и Сви н та не искат да се гласува с машини!,Негативен,0.92,гняв
"До 7. Кметът на Монтана, Златко Живков, НЕ Е от ГЕРБ!",Неутрален,0.78,увереност
